Epoch 696/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6386]
Epoch 697/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5491]
Epoch 698/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5531]
Epoch 699/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4917]
Epoch 700/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4732]
2026-02-14 07:22:07 | INFO | 💾 Saved Checkpoint: Epoch 699 | Loss: 1.4732
Epoch 701/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.4647]
Epoch 702/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4726]
Epoch 703/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5110]
Epoch 704/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4906]
Epoch 705/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4963]
Epoch 706/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5151]
Epoch 707/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4636]
Epoch 708/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4561]
Epoch 709/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4777]
Epoch 710/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4858]
Epoch 711/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5101]
Epoch 712/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5352]
